"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Youri Baas","25","Def","1.83 m","71 kg","Netherlands","6","4",NA,NA,"0","3","2","0","0","0","2","0","Ajax Amsterdam"
"Olivier Aertssen","43","Def","1.83 m","--","Netherlands","0","0",NA,NA,"0","0","0","0","0","0","0","0","Ajax Amsterdam"
"Mateja Milovanovic","44","Def","--","--","Serbia","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Tristan Gooijer","47","Def","1.8 m","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Jorrel Hato","57","Def","--","--","Netherlands","8","5",NA,NA,"0","1","1","1","0","0","0","0","Ajax Amsterdam"
"Edson Álvarez","4","Mid","1.88 m","73 kg","Mexico","28","1",NA,NA,"3","32","12","10","0","3","60","19","Ajax Amsterdam"
"Davy Klaassen","6","Mid","1.78 m","68 kg","Netherlands","30","9",NA,NA,"3","13","14","3","0","7","33","13","Ajax Amsterdam"
"Kenneth Taylor","8","Mid","1.83 m","73 kg","Netherlands","29","3",NA,NA,"3","25","28","4","0","8","39","16","Ajax Amsterdam"
"Mohammed Kudus","20","Mid","1.78 m","68 kg","Ghana","27","11",NA,NA,"2","24","31","1","0","11","54","22","Ajax Amsterdam"
"Florian Grillitsch","21","Mid","1.88 m","77 kg","Austria","10","6",NA,NA,"0","3","7","2","0","0","1","0","Ajax Amsterdam"
"Youri Regeer","26","Mid","1.78 m","--","Netherlands","3","3",NA,NA,"0","0","0","0","0","0","0","0","Ajax Amsterdam"
"Kian Fitz-Jim","28","Mid","--","--","Netherlands","2","2",NA,NA,"0","2","0","0","0","0","2","0","Ajax Amsterdam"
"Kristian Hlynsson","38","Mid","--","--","Iceland","0","0",NA,NA,"0","0","0","0","0","0","0","0","Ajax Amsterdam"
"Silvano Vos","41","Mid","--","--","Netherlands","2","2",NA,NA,"0","0","1","0","0","0","2","0","Ajax Amsterdam"
"Donny Warmerdam","45","Mid","1.75 m","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Patrickson Delgado","46","Mid","1.8 m","76 kg","Ecuador","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Julian Brandes","54","Mid","--","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Steven Bergwijn","7","Fwd","1.75 m","78 kg","Netherlands","29","4",NA,NA,"5","12","34","0","0","11","77","29","Ajax Amsterdam"
"Brian Brobbey","9","Fwd","1.8 m","78 kg","Netherlands","29","15",NA,NA,"2","18","22","1","0","11","51","24","Ajax Amsterdam"
"Dusan Tadic","10","Fwd","1.8 m","76 kg","Serbia","31","0",NA,NA,"19","19","38","3","0","9","38","14","Ajax Amsterdam"
"Lorenzo Lucca","18","Fwd","2.01 m","78 kg","Italy","13","13",NA,NA,"1","4","4","1","0","2","13","6","Ajax Amsterdam"
"Steven Berghuis","23","Fwd","1.83 m","73 kg","Netherlands","28","3",NA,NA,"9","11","11","4","0","9","74","22","Ajax Amsterdam"
"Francisco Conceição","35","Fwd","1.7 m","63 kg","Portugal","19","15",NA,NA,"3","9","13","3","0","0","20","6","Ajax Amsterdam"
"Amourricho van Axel Dongen","36","Fwd","1.75 m","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Christian Rasmussen","37","Fwd","1.83 m","73 kg","Denmark","2","2",NA,NA,"0","0","0","0","0","0","1","0","Ajax Amsterdam"
"Mika Godts","39","Fwd","1.75 m","--","Belgium","1","1",NA,NA,"0","0","1","0","0","0","1","0","Ajax Amsterdam"
"Sontje Hansen","40","Fwd","1.73 m","68 kg","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Ar'jany Martha","42","Fwd","--","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
"Jaydon Banel","49","Fwd","--","--","Netherlands","0","0",NA,NA,"0","0","0","0","0","0","0","0","Ajax Amsterdam"
"Gabriel Misehouy","55","Fwd","--","--","Netherlands","--","--",NA,NA,"--","--","--","--","--","--","--","--","Ajax Amsterdam"
